종목코드,종목명,현재가,ADX,PSAR전환일,DI골든크로스일,SMA(단순)정배열초입일,스캔일시
042700,한미반도체,261500,12.5,2026-09-07,2026-09-07,2026-09-04,2026-09-10 03:28
267250,HD현대,247500,18.2,2026-09-04,2026-09-04,2026-09-07,2026-09-10 03:28
086280,현대글로비스,201000,8.1,2026-09-07,2026-09-07,2026-09-09,2026-09-10 03:28
006260,LS,319500,8.4,2026-09-09,2026-09-07,2026-09-10,2026-09-10 03:28
028050,삼성E&A,49150,12.3,2026-09-08,2026-09-07,2026-09-09,2026-09-10 03:28
001440,대한전선,29500,10.4,2026-09-09,2026-09-08,2026-09-10,2026-09-10 03:28
000990,DB하이텍,118500,21.9,2026-09-07,2026-09-07,2026-09-09,2026-09-10 03:28
229640,LS에코에너지,48100,9.1,2026-09-09,2026-09-07,2026-09-09,2026-09-10 03:28
271940,일진하이솔루스,11660,15.2,2026-09-07,2026-09-07,2026-09-09,2026-09-10 03:28
126720,수산인더스트리,22000,12.0,2026-09-08,2026-09-07,2026-09-09,2026-09-10 03:28
105840,우진,15200,18.1,2026-09-07,2026-09-07,2026-09-09,2026-09-10 03:28
058470,리노공업,72400,20.5,2026-09-08,2026-09-10,2026-09-09,2026-09-10 03:28
319660,피에스케이,139400,19.0,2026-09-10,2026-09-10,2026-09-10,2026-09-10 03:28
131290,티에스이,317000,16.8,2026-09-08,2026-09-07,2026-09-09,2026-09-10 03:28
263750,펄어비스,35650,21.0,2026-09-04,2026-09-04,2026-09-08,2026-09-10 03:28
131970,두산테스나,91900,14.2,2026-09-07,2026-09-07,2026-09-10,2026-09-10 03:28
003380,하림지주,11140,9.6,2026-09-08,2026-09-08,2026-09-08,2026-09-10 03:28
437730,삼현,37000,13.7,2026-09-07,2026-09-07,2026-09-10,2026-09-10 03:28
056190,SFA,25050,10.2,2026-09-08,2026-09-08,2026-09-10,2026-09-10 03:28
161580,필옵틱스,32650,24.1,2026-09-07,2026-09-07,2026-09-08,2026-09-10 03:28
035760,CJ ENM,33400,11.1,2026-09-08,2026-09-07,2026-09-10,2026-09-10 03:28
160190,하이젠알앤엠,21850,22.4,2026-09-07,2026-09-04,2026-09-08,2026-09-10 03:28
059090,미코,19860,10.3,2026-09-09,2026-09-09,2026-09-10,2026-09-10 03:28
089890,코세스,27150,10.8,2026-09-09,2026-09-07,2026-09-10,2026-09-10 03:28
